name,trips
E 21st/Speedway @ PCL,43851
Dean Keeton/Speedway,33342
W 26th/Nueces,32920
W 23rd/San Gabriel,27560
W 21st/University,25314
W 22nd/Pearl,24429
Dean Keeton/Whitis,23152
W 28th/Rio Grande,23098
W 21st/Guadalupe,21626
Guadalupe/West Mall @ University Co-op,18674
"Rainey/Cummings	",15205
W 22.5/Rio Grande,12942
Riverside/South Lamar,11065
E 23rd/San Jacinto @ DKR Stadium,10557
W 6th/Congress,7929
Electric Drive @ Pfluger Ped Bridge,7777
"Plaza Saltillo	",7542
W 3rd/West,7381
W 3rd/Nueces,6744
Lakeshore/Pleasant Valley,6726
W 5th/Bowie,6551
E 2nd/Congress,6400
E 6th/Medina,6294
Nash Hernandez/East @ RBJ South,6263
W 2nd/Lavaca @ City Hall,6136
W 4th/Congress,5405
Veterans/Atlanta @ MoPac Ped Bridge,5335
Lakeshore/Lady Bird Ln.,5218
Barton Springs/Bouldin@ Palmer Auditorium,5037
Rainey/Driskill,4889
E 5th/Neches @ Downtown Station,4419
S 1st/Riverside @ Long Center,4345
Dean Keeton/Park Place,4333
W 16th/San Antonio ,4185
Lake Austin Blvd/Deep Eddy,4057
South Congress/Barton Springs,4002
Zilker Park,3939
E 6th/Pedernales,3797
W 5th/Campbell,3776
Cesar Chavez/Congress,3695
Barton Springs Pool,3613
E 5th/Broadway,3593
Dean Keeton/Robert Dedman Dr,3476
W 9th/Henderson,3415
Barton Springs/Azie Morton,3328
South Congress @ Bouldin Creek,3312
W 11th/Congress @ The Texas Capitol,3114
Hollow Creek/Barton Hills,3047
South Congress/Mary,2989
W 8th/Congress,2804
Barton Springs/Kinney,2774
E 4th/Chicon,2693
E 11th/San Marcos,2631
30th/Whitis,2592
E 6th/Chalmers,2411
W 6th/West,2286
E 10th/Red River,2239
South Congress/Academy,2087
E 8th/Red River,2056
South Congress/Elizabeth,1965
E 6th/Chicon,1888
W 6th/Lavaca,1816
E 2nd/Pedernales,1783
One Texas Center,1703
E 13th/Trinity @ Waterloo Greenway,1695
E 4th/Neches @ Downtown Station,1576
South Congress/James,1556
E 8th/Lavaca,1509
E 3rd/Trinity,1501
E 8th/Trinity,1435
E 11th/Salina,1332
W 4th/Guadalupe @ Republic Square,1211
Rosewood/Angelina,1153
E 11th/San Jacinto,1106
E 12th/San Jacinto @ State Capitol Visitors G,1093
E 11th/Waller,931
E 5th/Shady @ Eastside Bus Plaza,310
E 8th/San Jacinto,221
E Cesar Chavez/Pleasant Valley ,123
Lakeshore/Austin Hostel,117
Webberville/Northwestern,29
E 7th/Pleasant Valley ,16
E 7th/Congress,8
E 6th/Robert T. Martinez,6
E. 7th/Congress,2
TEST-LucJ,1
Warehouse Station,1
